smiles,readout,temperature,pressure,LOG(y)
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"[0.40403247, 0.0, 0.0, 0.839425, 0.0, 0.0, 0.0, 0.0, 0.8374085, 0.0, 0.1675078, 0.24829897, 0.0, 1.1684536, 0.67687005, 0.6556401, 0.0, 0.0, 0.0, 0.0, 0.5779585, 0.29802257, 0.0, 1.0261378, 0.6422249, 0.0, 0.0, 0.0, 0.38594887, 0.0, 0.0, 0.0, 0.0, 0.4337018, 0.0, 0.60045075, 0.0, 0.14521721, 0.055635184, 0.31040823, 1.1230698, 0.0, 0.0, 0.32885766, 0.68590075, 0.3452929, 0.39851892, 0.19772515, 0.0, 0.0, 0.028643481, 0.0, 0.0, 0.4403699, 0.36380613, 0.13660038, 0.49834573, 0.0, 0.0, 0.74827945, 0.0, 0.44243252, 1.3775156, 0.0, 0.28654867, 0.0, 0.0, 0.0, 0.15499662, 0.0, 0.89122033, 0.0, 0.0, 1.2357023, 0.0, 0.0, 0.0, 0.51622975, 0.0, 0.0, 0.17143115, 0.5296701, 0.091088735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.90631557, 0.0, 1.1857717, 0.7802011, 0.0, 0.57798547, 0.33070463, 0.0, 0.71632814, 0.31412542, 0.0, 0.17055547, 0.0, 0.16844784, 0.0, 0.0, 0.0, 0.56048757, 0.0, 0.0, 1.0245185, 0.026790272, 1.1366377, 0.0, 0.0, 0.40982142, 0.4094603, 0.36772886, 0.0, 0.0, 0.019612208, 0.0, 0.9206268, 0.0, 0.0, 0.13347678, 0.9241271, 0.0, 0.0, 0.0, 1.793832, 0.0, 0.0, 0.0, 0.030255057, 0.0, 1.053501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4103241, 0.5540462, 0.0, 0.0, 0.0, 0.0, 0.2959059, 0.4504307, 0.0016899891, 0.0, 0.0, 0.0, 1.2395442, 0.0, 0.60207516, 0.0, 0.2656169, 0.0, 0.722482, 0.0, 0.0, 0.0, 0.0, 1.0317506, 1.4030946, 0.23264313, 0.0, 0.0, 0.0, 0.64709616, 0.0, 0.0, 0.16011557, 1.5935599, 0.0, 0.0, 0.5280376, 0.32191235, 0.36170775, 0.0, 0.0, 0.0, 0.59569216, 0.0, 0.16042721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03905253, 0.0, 0.0]",308.2,8.41,-5.725842151
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"[0.40403247, 0.0, 0.0, 0.839425, 0.0, 0.0, 0.0, 0.0, 0.8374085, 0.0, 0.1675078, 0.24829897, 0.0, 1.1684536, 0.67687005, 0.6556401, 0.0, 0.0, 0.0, 0.0, 0.5779585, 0.29802257, 0.0, 1.0261378, 0.6422249, 0.0, 0.0, 0.0, 0.38594887, 0.0, 0.0, 0.0, 0.0, 0.4337018, 0.0, 0.60045075, 0.0, 0.14521721, 0.055635184, 0.31040823, 1.1230698, 0.0, 0.0, 0.32885766, 0.68590075, 0.3452929, 0.39851892, 0.19772515, 0.0, 0.0, 0.028643481, 0.0, 0.0, 0.4403699, 0.36380613, 0.13660038, 0.49834573, 0.0, 0.0, 0.74827945, 0.0, 0.44243252, 1.3775156, 0.0, 0.28654867, 0.0, 0.0, 0.0, 0.15499662, 0.0, 0.89122033, 0.0, 0.0, 1.2357023, 0.0, 0.0, 0.0, 0.51622975, 0.0, 0.0, 0.17143115, 0.5296701, 0.091088735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.90631557, 0.0, 1.1857717, 0.7802011, 0.0, 0.57798547, 0.33070463, 0.0, 0.71632814, 0.31412542, 0.0, 0.17055547, 0.0, 0.16844784, 0.0, 0.0, 0.0, 0.56048757, 0.0, 0.0, 1.0245185, 0.026790272, 1.1366377, 0.0, 0.0, 0.40982142, 0.4094603, 0.36772886, 0.0, 0.0, 0.019612208, 0.0, 0.9206268, 0.0, 0.0, 0.13347678, 0.9241271, 0.0, 0.0, 0.0, 1.793832, 0.0, 0.0, 0.0, 0.030255057, 0.0, 1.053501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4103241, 0.5540462, 0.0, 0.0, 0.0, 0.0, 0.2959059, 0.4504307, 0.0016899891, 0.0, 0.0, 0.0, 1.2395442, 0.0, 0.60207516, 0.0, 0.2656169, 0.0, 0.722482, 0.0, 0.0, 0.0, 0.0, 1.0317506, 1.4030946, 0.23264313, 0.0, 0.0, 0.0, 0.64709616, 0.0, 0.0, 0.16011557, 1.5935599, 0.0, 0.0, 0.5280376, 0.32191235, 0.36170775, 0.0, 0.0, 0.0, 0.59569216, 0.0, 0.16042721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03905253, 0.0, 0.0]",308.2,9.56,-5.326979093
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"[0.40403247, 0.0, 0.0, 0.839425, 0.0, 0.0, 0.0, 0.0, 0.8374085, 0.0, 0.1675078, 0.24829897, 0.0, 1.1684536, 0.67687005, 0.6556401, 0.0, 0.0, 0.0, 0.0, 0.5779585, 0.29802257, 0.0, 1.0261378, 0.6422249, 0.0, 0.0, 0.0, 0.38594887, 0.0, 0.0, 0.0, 0.0, 0.4337018, 0.0, 0.60045075, 0.0, 0.14521721, 0.055635184, 0.31040823, 1.1230698, 0.0, 0.0, 0.32885766, 0.68590075, 0.3452929, 0.39851892, 0.19772515, 0.0, 0.0, 0.028643481, 0.0, 0.0, 0.4403699, 0.36380613, 0.13660038, 0.49834573, 0.0, 0.0, 0.74827945, 0.0, 0.44243252, 1.3775156, 0.0, 0.28654867, 0.0, 0.0, 0.0, 0.15499662, 0.0, 0.89122033, 0.0, 0.0, 1.2357023, 0.0, 0.0, 0.0, 0.51622975, 0.0, 0.0, 0.17143115, 0.5296701, 0.091088735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.90631557, 0.0, 1.1857717, 0.7802011, 0.0, 0.57798547, 0.33070463, 0.0, 0.71632814, 0.31412542, 0.0, 0.17055547, 0.0, 0.16844784, 0.0, 0.0, 0.0, 0.56048757, 0.0, 0.0, 1.0245185, 0.026790272, 1.1366377, 0.0, 0.0, 0.40982142, 0.4094603, 0.36772886, 0.0, 0.0, 0.019612208, 0.0, 0.9206268, 0.0, 0.0, 0.13347678, 0.9241271, 0.0, 0.0, 0.0, 1.793832, 0.0, 0.0, 0.0, 0.030255057, 0.0, 1.053501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4103241, 0.5540462, 0.0, 0.0, 0.0, 0.0, 0.2959059, 0.4504307, 0.0016899891, 0.0, 0.0, 0.0, 1.2395442, 0.0, 0.60207516, 0.0, 0.2656169, 0.0, 0.722482, 0.0, 0.0, 0.0, 0.0, 1.0317506, 1.4030946, 0.23264313, 0.0, 0.0, 0.0, 0.64709616, 0.0, 0.0, 0.16011557, 1.5935599, 0.0, 0.0, 0.5280376, 0.32191235, 0.36170775, 0.0, 0.0, 0.0, 0.59569216, 0.0, 0.16042721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03905253, 0.0, 0.0]",308.2,11.64,-4.982966661
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"[0.40403247, 0.0, 0.0, 0.839425, 0.0, 0.0, 0.0, 0.0, 0.8374085, 0.0, 0.1675078, 0.24829897, 0.0, 1.1684536, 0.67687005, 0.6556401, 0.0, 0.0, 0.0, 0.0, 0.5779585, 0.29802257, 0.0, 1.0261378, 0.6422249, 0.0, 0.0, 0.0, 0.38594887, 0.0, 0.0, 0.0, 0.0, 0.4337018, 0.0, 0.60045075, 0.0, 0.14521721, 0.055635184, 0.31040823, 1.1230698, 0.0, 0.0, 0.32885766, 0.68590075, 0.3452929, 0.39851892, 0.19772515, 0.0, 0.0, 0.028643481, 0.0, 0.0, 0.4403699, 0.36380613, 0.13660038, 0.49834573, 0.0, 0.0, 0.74827945, 0.0, 0.44243252, 1.3775156, 0.0, 0.28654867, 0.0, 0.0, 0.0, 0.15499662, 0.0, 0.89122033, 0.0, 0.0, 1.2357023, 0.0, 0.0, 0.0, 0.51622975, 0.0, 0.0, 0.17143115, 0.5296701, 0.091088735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.90631557, 0.0, 1.1857717, 0.7802011, 0.0, 0.57798547, 0.33070463, 0.0, 0.71632814, 0.31412542, 0.0, 0.17055547, 0.0, 0.16844784, 0.0, 0.0, 0.0, 0.56048757, 0.0, 0.0, 1.0245185, 0.026790272, 1.1366377, 0.0, 0.0, 0.40982142, 0.4094603, 0.36772886, 0.0, 0.0, 0.019612208, 0.0, 0.9206268, 0.0, 0.0, 0.13347678, 0.9241271, 0.0, 0.0, 0.0, 1.793832, 0.0, 0.0, 0.0, 0.030255057, 0.0, 1.053501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4103241, 0.5540462, 0.0, 0.0, 0.0, 0.0, 0.2959059, 0.4504307, 0.0016899891, 0.0, 0.0, 0.0, 1.2395442, 0.0, 0.60207516, 0.0, 0.2656169, 0.0, 0.722482, 0.0, 0.0, 0.0, 0.0, 1.0317506, 1.4030946, 0.23264313, 0.0, 0.0, 0.0, 0.64709616, 0.0, 0.0, 0.16011557, 1.5935599, 0.0, 0.0, 0.5280376, 0.32191235, 0.36170775, 0.0, 0.0, 0.0, 0.59569216, 0.0, 0.16042721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03905253, 0.0, 0.0]",308.2,15.88,-4.557520231
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"[0.40403247, 0.0, 0.0, 0.839425, 0.0, 0.0, 0.0, 0.0, 0.8374085, 0.0, 0.1675078, 0.24829897, 0.0, 1.1684536, 0.67687005, 0.6556401, 0.0, 0.0, 0.0, 0.0, 0.5779585, 0.29802257, 0.0, 1.0261378, 0.6422249, 0.0, 0.0, 0.0, 0.38594887, 0.0, 0.0, 0.0, 0.0, 0.4337018, 0.0, 0.60045075, 0.0, 0.14521721, 0.055635184, 0.31040823, 1.1230698, 0.0, 0.0, 0.32885766, 0.68590075, 0.3452929, 0.39851892, 0.19772515, 0.0, 0.0, 0.028643481, 0.0, 0.0, 0.4403699, 0.36380613, 0.13660038, 0.49834573, 0.0, 0.0, 0.74827945, 0.0, 0.44243252, 1.3775156, 0.0, 0.28654867, 0.0, 0.0, 0.0, 0.15499662, 0.0, 0.89122033, 0.0, 0.0, 1.2357023, 0.0, 0.0, 0.0, 0.51622975, 0.0, 0.0, 0.17143115, 0.5296701, 0.091088735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.90631557, 0.0, 1.1857717, 0.7802011, 0.0, 0.57798547, 0.33070463, 0.0, 0.71632814, 0.31412542, 0.0, 0.17055547, 0.0, 0.16844784, 0.0, 0.0, 0.0, 0.56048757, 0.0, 0.0, 1.0245185, 0.026790272, 1.1366377, 0.0, 0.0, 0.40982142, 0.4094603, 0.36772886, 0.0, 0.0, 0.019612208, 0.0, 0.9206268, 0.0, 0.0, 0.13347678, 0.9241271, 0.0, 0.0, 0.0, 1.793832, 0.0, 0.0, 0.0, 0.030255057, 0.0, 1.053501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4103241, 0.5540462, 0.0, 0.0, 0.0, 0.0, 0.2959059, 0.4504307, 0.0016899891, 0.0, 0.0, 0.0, 1.2395442, 0.0, 0.60207516, 0.0, 0.2656169, 0.0, 0.722482, 0.0, 0.0, 0.0, 0.0, 1.0317506, 1.4030946, 0.23264313, 0.0, 0.0, 0.0, 0.64709616, 0.0, 0.0, 0.16011557, 1.5935599, 0.0, 0.0, 0.5280376, 0.32191235, 0.36170775, 0.0, 0.0, 0.0, 0.59569216, 0.0, 0.16042721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03905253, 0.0, 0.0]",308.2,19.91,-4.467245621
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"[0.40403247, 0.0, 0.0, 0.839425, 0.0, 0.0, 0.0, 0.0, 0.8374085, 0.0, 0.1675078, 0.24829897, 0.0, 1.1684536, 0.67687005, 0.6556401, 0.0, 0.0, 0.0, 0.0, 0.5779585, 0.29802257, 0.0, 1.0261378, 0.6422249, 0.0, 0.0, 0.0, 0.38594887, 0.0, 0.0, 0.0, 0.0, 0.4337018, 0.0, 0.60045075, 0.0, 0.14521721, 0.055635184, 0.31040823, 1.1230698, 0.0, 0.0, 0.32885766, 0.68590075, 0.3452929, 0.39851892, 0.19772515, 0.0, 0.0, 0.028643481, 0.0, 0.0, 0.4403699, 0.36380613, 0.13660038, 0.49834573, 0.0, 0.0, 0.74827945, 0.0, 0.44243252, 1.3775156, 0.0, 0.28654867, 0.0, 0.0, 0.0, 0.15499662, 0.0, 0.89122033, 0.0, 0.0, 1.2357023, 0.0, 0.0, 0.0, 0.51622975, 0.0, 0.0, 0.17143115, 0.5296701, 0.091088735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.90631557, 0.0, 1.1857717, 0.7802011, 0.0, 0.57798547, 0.33070463, 0.0, 0.71632814, 0.31412542, 0.0, 0.17055547, 0.0, 0.16844784, 0.0, 0.0, 0.0, 0.56048757, 0.0, 0.0, 1.0245185, 0.026790272, 1.1366377, 0.0, 0.0, 0.40982142, 0.4094603, 0.36772886, 0.0, 0.0, 0.019612208, 0.0, 0.9206268, 0.0, 0.0, 0.13347678, 0.9241271, 0.0, 0.0, 0.0, 1.793832, 0.0, 0.0, 0.0, 0.030255057, 0.0, 1.053501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4103241, 0.5540462, 0.0, 0.0, 0.0, 0.0, 0.2959059, 0.4504307, 0.0016899891, 0.0, 0.0, 0.0, 1.2395442, 0.0, 0.60207516, 0.0, 0.2656169, 0.0, 0.722482, 0.0, 0.0, 0.0, 0.0, 1.0317506, 1.4030946, 0.23264313, 0.0, 0.0, 0.0, 0.64709616, 0.0, 0.0, 0.16011557, 1.5935599, 0.0, 0.0, 0.5280376, 0.32191235, 0.36170775, 0.0, 0.0, 0.0, 0.59569216, 0.0, 0.16042721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03905253, 0.0, 0.0]",308.2,23.92,-4.389339837
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"[0.40403247, 0.0, 0.0, 0.839425, 0.0, 0.0, 0.0, 0.0, 0.8374085, 0.0, 0.1675078, 0.24829897, 0.0, 1.1684536, 0.67687005, 0.6556401, 0.0, 0.0, 0.0, 0.0, 0.5779585, 0.29802257, 0.0, 1.0261378, 0.6422249, 0.0, 0.0, 0.0, 0.38594887, 0.0, 0.0, 0.0, 0.0, 0.4337018, 0.0, 0.60045075, 0.0, 0.14521721, 0.055635184, 0.31040823, 1.1230698, 0.0, 0.0, 0.32885766, 0.68590075, 0.3452929, 0.39851892, 0.19772515, 0.0, 0.0, 0.028643481, 0.0, 0.0, 0.4403699, 0.36380613, 0.13660038, 0.49834573, 0.0, 0.0, 0.74827945, 0.0, 0.44243252, 1.3775156, 0.0, 0.28654867, 0.0, 0.0, 0.0, 0.15499662, 0.0, 0.89122033, 0.0, 0.0, 1.2357023, 0.0, 0.0, 0.0, 0.51622975, 0.0, 0.0, 0.17143115, 0.5296701, 0.091088735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.90631557, 0.0, 1.1857717, 0.7802011, 0.0, 0.57798547, 0.33070463, 0.0, 0.71632814, 0.31412542, 0.0, 0.17055547, 0.0, 0.16844784, 0.0, 0.0, 0.0, 0.56048757, 0.0, 0.0, 1.0245185, 0.026790272, 1.1366377, 0.0, 0.0, 0.40982142, 0.4094603, 0.36772886, 0.0, 0.0, 0.019612208, 0.0, 0.9206268, 0.0, 0.0, 0.13347678, 0.9241271, 0.0, 0.0, 0.0, 1.793832, 0.0, 0.0, 0.0, 0.030255057, 0.0, 1.053501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4103241, 0.5540462, 0.0, 0.0, 0.0, 0.0, 0.2959059, 0.4504307, 0.0016899891, 0.0, 0.0, 0.0, 1.2395442, 0.0, 0.60207516, 0.0, 0.2656169, 0.0, 0.722482, 0.0, 0.0, 0.0, 0.0, 1.0317506, 1.4030946, 0.23264313, 0.0, 0.0, 0.0, 0.64709616, 0.0, 0.0, 0.16011557, 1.5935599, 0.0, 0.0, 0.5280376, 0.32191235, 0.36170775, 0.0, 0.0, 0.0, 0.59569216, 0.0, 0.16042721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03905253, 0.0, 0.0]",308.2,26.03,-4.351639989
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"[0.40403247, 0.0, 0.0, 0.839425, 0.0, 0.0, 0.0, 0.0, 0.8374085, 0.0, 0.1675078, 0.24829897, 0.0, 1.1684536, 0.67687005, 0.6556401, 0.0, 0.0, 0.0, 0.0, 0.5779585, 0.29802257, 0.0, 1.0261378, 0.6422249, 0.0, 0.0, 0.0, 0.38594887, 0.0, 0.0, 0.0, 0.0, 0.4337018, 0.0, 0.60045075, 0.0, 0.14521721, 0.055635184, 0.31040823, 1.1230698, 0.0, 0.0, 0.32885766, 0.68590075, 0.3452929, 0.39851892, 0.19772515, 0.0, 0.0, 0.028643481, 0.0, 0.0, 0.4403699, 0.36380613, 0.13660038, 0.49834573, 0.0, 0.0, 0.74827945, 0.0, 0.44243252, 1.3775156, 0.0, 0.28654867, 0.0, 0.0, 0.0, 0.15499662, 0.0, 0.89122033, 0.0, 0.0, 1.2357023, 0.0, 0.0, 0.0, 0.51622975, 0.0, 0.0, 0.17143115, 0.5296701, 0.091088735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.90631557, 0.0, 1.1857717, 0.7802011, 0.0, 0.57798547, 0.33070463, 0.0, 0.71632814, 0.31412542, 0.0, 0.17055547, 0.0, 0.16844784, 0.0, 0.0, 0.0, 0.56048757, 0.0, 0.0, 1.0245185, 0.026790272, 1.1366377, 0.0, 0.0, 0.40982142, 0.4094603, 0.36772886, 0.0, 0.0, 0.019612208, 0.0, 0.9206268, 0.0, 0.0, 0.13347678, 0.9241271, 0.0, 0.0, 0.0, 1.793832, 0.0, 0.0, 0.0, 0.030255057, 0.0, 1.053501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4103241, 0.5540462, 0.0, 0.0, 0.0, 0.0, 0.2959059, 0.4504307, 0.0016899891, 0.0, 0.0, 0.0, 1.2395442, 0.0, 0.60207516, 0.0, 0.2656169, 0.0, 0.722482, 0.0, 0.0, 0.0, 0.0, 1.0317506, 1.4030946, 0.23264313, 0.0, 0.0, 0.0, 0.64709616, 0.0, 0.0, 0.16011557, 1.5935599, 0.0, 0.0, 0.5280376, 0.32191235, 0.36170775, 0.0, 0.0, 0.0, 0.59569216, 0.0, 0.16042721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03905253, 0.0, 0.0]",308.2,29.82,-4.289036881
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"[0.40403247, 0.0, 0.0, 0.839425, 0.0, 0.0, 0.0, 0.0, 0.8374085, 0.0, 0.1675078, 0.24829897, 0.0, 1.1684536, 0.67687005, 0.6556401, 0.0, 0.0, 0.0, 0.0, 0.5779585, 0.29802257, 0.0, 1.0261378, 0.6422249, 0.0, 0.0, 0.0, 0.38594887, 0.0, 0.0, 0.0, 0.0, 0.4337018, 0.0, 0.60045075, 0.0, 0.14521721, 0.055635184, 0.31040823, 1.1230698, 0.0, 0.0, 0.32885766, 0.68590075, 0.3452929, 0.39851892, 0.19772515, 0.0, 0.0, 0.028643481, 0.0, 0.0, 0.4403699, 0.36380613, 0.13660038, 0.49834573, 0.0, 0.0, 0.74827945, 0.0, 0.44243252, 1.3775156, 0.0, 0.28654867, 0.0, 0.0, 0.0, 0.15499662, 0.0, 0.89122033, 0.0, 0.0, 1.2357023, 0.0, 0.0, 0.0, 0.51622975, 0.0, 0.0, 0.17143115, 0.5296701, 0.091088735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.90631557, 0.0, 1.1857717, 0.7802011, 0.0, 0.57798547, 0.33070463, 0.0, 0.71632814, 0.31412542, 0.0, 0.17055547, 0.0, 0.16844784, 0.0, 0.0, 0.0, 0.56048757, 0.0, 0.0, 1.0245185, 0.026790272, 1.1366377, 0.0, 0.0, 0.40982142, 0.4094603, 0.36772886, 0.0, 0.0, 0.019612208, 0.0, 0.9206268, 0.0, 0.0, 0.13347678, 0.9241271, 0.0, 0.0, 0.0, 1.793832, 0.0, 0.0, 0.0, 0.030255057, 0.0, 1.053501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4103241, 0.5540462, 0.0, 0.0, 0.0, 0.0, 0.2959059, 0.4504307, 0.0016899891, 0.0, 0.0, 0.0, 1.2395442, 0.0, 0.60207516, 0.0, 0.2656169, 0.0, 0.722482, 0.0, 0.0, 0.0, 0.0, 1.0317506, 1.4030946, 0.23264313, 0.0, 0.0, 0.0, 0.64709616, 0.0, 0.0, 0.16011557, 1.5935599, 0.0, 0.0, 0.5280376, 0.32191235, 0.36170775, 0.0, 0.0, 0.0, 0.59569216, 0.0, 0.16042721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03905253, 0.0, 0.0]",318.2,8.96,-6.054531415
C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3C2=O,"[0.40403247, 0.0, 0.0, 0.839425, 0.0, 0.0, 0.0, 0.0, 0.8374085, 0.0, 0.1675078, 0.24829897, 0.0, 1.1684536, 0.67687005, 0.6556401, 0.0, 0.0, 0.0, 0.0, 0.5779585, 0.29802257, 0.0, 1.0261378, 0.6422249, 0.0, 0.0, 0.0, 0.38594887, 0.0, 0.0, 0.0, 0.0, 0.4337018, 0.0, 0.60045075, 0.0, 0.14521721, 0.055635184, 0.31040823, 1.1230698, 0.0, 0.0, 0.32885766, 0.68590075, 0.3452929, 0.39851892, 0.19772515, 0.0, 0.0, 0.028643481, 0.0, 0.0, 0.4403699, 0.36380613, 0.13660038, 0.49834573, 0.0, 0.0, 0.74827945, 0.0, 0.44243252, 1.3775156, 0.0, 0.28654867, 0.0, 0.0, 0.0, 0.15499662, 0.0, 0.89122033, 0.0, 0.0, 1.2357023, 0.0, 0.0, 0.0, 0.51622975, 0.0, 0.0, 0.17143115, 0.5296701, 0.091088735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.90631557, 0.0, 1.1857717, 0.7802011, 0.0, 0.57798547, 0.33070463, 0.0, 0.71632814, 0.31412542, 0.0, 0.17055547, 0.0, 0.16844784, 0.0, 0.0, 0.0, 0.56048757, 0.0, 0.0, 1.0245185, 0.026790272, 1.1366377, 0.0, 0.0, 0.40982142, 0.4094603, 0.36772886, 0.0, 0.0, 0.019612208, 0.0, 0.9206268, 0.0, 0.0, 0.13347678, 0.9241271, 0.0, 0.0, 0.0, 1.793832, 0.0, 0.0, 0.0, 0.030255057, 0.0, 1.053501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4103241, 0.5540462, 0.0, 0.0, 0.0, 0.0, 0.2959059, 0.4504307, 0.0016899891, 0.0, 0.0, 0.0, 1.2395442, 0.0, 0.60207516, 0.0, 0.2656169, 0.0, 0.722482, 0.0, 0.0, 0.0, 0.0, 1.0317506, 1.4030946, 0.23264313, 0.0, 0.0, 0.0, 0.64709616, 0.0, 0.0, 0.16011557, 1.5935599, 0.0, 0.0, 0.5280376, 0.32191235, 0.36170775, 0.0, 0.0, 0.0, 0.59569216, 0.0, 0.16042721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03905253, 0.0, 0.0]",318.2,10.77,-5.452225295
