smiles,readout,temperature,pressure,LOG(y)
CC1=C(C(=C(C(=C1C)C)C)C)C,"[0.0, 0.0, 0.54924357, 0.08745287, 0.28601003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115683705, 0.0, 0.2613924, 0.0, 0.0, 0.0, 0.7548231, 0.0, 0.6817068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37805083, 0.0, 0.0, 0.0, 0.16307905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430814, 0.8782683, 0.6067637, 0.83185965, 0.0, 0.0, 0.0, 0.0, 0.22235146, 0.71815306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4635181, 0.0, 0.0, 0.0, 0.0, 1.4525504, 0.5584196, 0.0, 0.0, 0.06043016, 0.0, 0.0, 0.0, 0.2751779, 0.3494243, 0.04869336, 0.0, 0.0, 0.0, 0.04043536, 0.0, 0.80330336, 0.0, 0.6398656, 0.0, 0.0, 0.54324114, 0.0, 0.0, 0.37744713, 0.15225875, 0.0, 0.0, 0.0, 0.0, 0.40400207, 0.0, 0.0, 0.53672683, 0.0, 1.0151252, 0.0, 0.0, 0.6436679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107585065, 0.18579319, 0.41223013, 0.0, 0.02405712, 0.0, 0.01804884, 0.0, 0.62664276, 0.0, 0.0, 0.23462707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.89185023, 0.0, 0.8224024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.098394394, 0.0, 0.7866226, 0.0, 0.32571554, 0.35287517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30789852, 0.0, 0.0, 0.0, 0.9199515, 0.0, 0.17415157, 0.021078993, 0.0, 0.9195427, 0.0, 0.16168758, 0.0, 0.67340386, 0.794779, 0.11561389, 0.0, 0.13552338, 0.0, 0.8948411, 0.043905854, 0.0, 0.0, 0.0, 0.7864579, 0.0, 0.9807139, 1.218286, 0.0, 0.8001865, 0.0, 0.0, 0.0, 0.0, 0.77458733, 0.0, 0.58422816, 0.21719648, 0.0, 0.0, 0.0, 0.9414698, 0.0, 0.43569252, 0.0, 0.0, 0.0, 0.0, 0.33565715, 0.0, 0.768754, 0.0, 0.0, 0.0, 0.4163643, 0.0, 0.0, 0.0, 0.0]",303.15,8.37,-2.866461092
CC1=C(C(=C(C(=C1C)C)C)C)C,"[0.0, 0.0, 0.54924357, 0.08745287, 0.28601003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115683705, 0.0, 0.2613924, 0.0, 0.0, 0.0, 0.7548231, 0.0, 0.6817068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37805083, 0.0, 0.0, 0.0, 0.16307905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430814, 0.8782683, 0.6067637, 0.83185965, 0.0, 0.0, 0.0, 0.0, 0.22235146, 0.71815306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4635181, 0.0, 0.0, 0.0, 0.0, 1.4525504, 0.5584196, 0.0, 0.0, 0.06043016, 0.0, 0.0, 0.0, 0.2751779, 0.3494243, 0.04869336, 0.0, 0.0, 0.0, 0.04043536, 0.0, 0.80330336, 0.0, 0.6398656, 0.0, 0.0, 0.54324114, 0.0, 0.0, 0.37744713, 0.15225875, 0.0, 0.0, 0.0, 0.0, 0.40400207, 0.0, 0.0, 0.53672683, 0.0, 1.0151252, 0.0, 0.0, 0.6436679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107585065, 0.18579319, 0.41223013, 0.0, 0.02405712, 0.0, 0.01804884, 0.0, 0.62664276, 0.0, 0.0, 0.23462707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.89185023, 0.0, 0.8224024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.098394394, 0.0, 0.7866226, 0.0, 0.32571554, 0.35287517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30789852, 0.0, 0.0, 0.0, 0.9199515, 0.0, 0.17415157, 0.021078993, 0.0, 0.9195427, 0.0, 0.16168758, 0.0, 0.67340386, 0.794779, 0.11561389, 0.0, 0.13552338, 0.0, 0.8948411, 0.043905854, 0.0, 0.0, 0.0, 0.7864579, 0.0, 0.9807139, 1.218286, 0.0, 0.8001865, 0.0, 0.0, 0.0, 0.0, 0.77458733, 0.0, 0.58422816, 0.21719648, 0.0, 0.0, 0.0, 0.9414698, 0.0, 0.43569252, 0.0, 0.0, 0.0, 0.0, 0.33565715, 0.0, 0.768754, 0.0, 0.0, 0.0, 0.4163643, 0.0, 0.0, 0.0, 0.0]",303.15,10.4,-2.970616222
CC1=C(C(=C(C(=C1C)C)C)C)C,"[0.0, 0.0, 0.54924357, 0.08745287, 0.28601003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115683705, 0.0, 0.2613924, 0.0, 0.0, 0.0, 0.7548231, 0.0, 0.6817068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37805083, 0.0, 0.0, 0.0, 0.16307905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430814, 0.8782683, 0.6067637, 0.83185965, 0.0, 0.0, 0.0, 0.0, 0.22235146, 0.71815306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4635181, 0.0, 0.0, 0.0, 0.0, 1.4525504, 0.5584196, 0.0, 0.0, 0.06043016, 0.0, 0.0, 0.0, 0.2751779, 0.3494243, 0.04869336, 0.0, 0.0, 0.0, 0.04043536, 0.0, 0.80330336, 0.0, 0.6398656, 0.0, 0.0, 0.54324114, 0.0, 0.0, 0.37744713, 0.15225875, 0.0, 0.0, 0.0, 0.0, 0.40400207, 0.0, 0.0, 0.53672683, 0.0, 1.0151252, 0.0, 0.0, 0.6436679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107585065, 0.18579319, 0.41223013, 0.0, 0.02405712, 0.0, 0.01804884, 0.0, 0.62664276, 0.0, 0.0, 0.23462707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.89185023, 0.0, 0.8224024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.098394394, 0.0, 0.7866226, 0.0, 0.32571554, 0.35287517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30789852, 0.0, 0.0, 0.0, 0.9199515, 0.0, 0.17415157, 0.021078993, 0.0, 0.9195427, 0.0, 0.16168758, 0.0, 0.67340386, 0.794779, 0.11561389, 0.0, 0.13552338, 0.0, 0.8948411, 0.043905854, 0.0, 0.0, 0.0, 0.7864579, 0.0, 0.9807139, 1.218286, 0.0, 0.8001865, 0.0, 0.0, 0.0, 0.0, 0.77458733, 0.0, 0.58422816, 0.21719648, 0.0, 0.0, 0.0, 0.9414698, 0.0, 0.43569252, 0.0, 0.0, 0.0, 0.0, 0.33565715, 0.0, 0.768754, 0.0, 0.0, 0.0, 0.4163643, 0.0, 0.0, 0.0, 0.0]",303.15,13.9,-2.863279433
CC1=C(C(=C(C(=C1C)C)C)C)C,"[0.0, 0.0, 0.54924357, 0.08745287, 0.28601003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115683705, 0.0, 0.2613924, 0.0, 0.0, 0.0, 0.7548231, 0.0, 0.6817068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37805083, 0.0, 0.0, 0.0, 0.16307905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430814, 0.8782683, 0.6067637, 0.83185965, 0.0, 0.0, 0.0, 0.0, 0.22235146, 0.71815306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4635181, 0.0, 0.0, 0.0, 0.0, 1.4525504, 0.5584196, 0.0, 0.0, 0.06043016, 0.0, 0.0, 0.0, 0.2751779, 0.3494243, 0.04869336, 0.0, 0.0, 0.0, 0.04043536, 0.0, 0.80330336, 0.0, 0.6398656, 0.0, 0.0, 0.54324114, 0.0, 0.0, 0.37744713, 0.15225875, 0.0, 0.0, 0.0, 0.0, 0.40400207, 0.0, 0.0, 0.53672683, 0.0, 1.0151252, 0.0, 0.0, 0.6436679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107585065, 0.18579319, 0.41223013, 0.0, 0.02405712, 0.0, 0.01804884, 0.0, 0.62664276, 0.0, 0.0, 0.23462707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.89185023, 0.0, 0.8224024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.098394394, 0.0, 0.7866226, 0.0, 0.32571554, 0.35287517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30789852, 0.0, 0.0, 0.0, 0.9199515, 0.0, 0.17415157, 0.021078993, 0.0, 0.9195427, 0.0, 0.16168758, 0.0, 0.67340386, 0.794779, 0.11561389, 0.0, 0.13552338, 0.0, 0.8948411, 0.043905854, 0.0, 0.0, 0.0, 0.7864579, 0.0, 0.9807139, 1.218286, 0.0, 0.8001865, 0.0, 0.0, 0.0, 0.0, 0.77458733, 0.0, 0.58422816, 0.21719648, 0.0, 0.0, 0.0, 0.9414698, 0.0, 0.43569252, 0.0, 0.0, 0.0, 0.0, 0.33565715, 0.0, 0.768754, 0.0, 0.0, 0.0, 0.4163643, 0.0, 0.0, 0.0, 0.0]",303.15,20.8,-2.812479279
CC1=C(C(=C(C(=C1C)C)C)C)C,"[0.0, 0.0, 0.54924357, 0.08745287, 0.28601003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115683705, 0.0, 0.2613924, 0.0, 0.0, 0.0, 0.7548231, 0.0, 0.6817068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37805083, 0.0, 0.0, 0.0, 0.16307905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430814, 0.8782683, 0.6067637, 0.83185965, 0.0, 0.0, 0.0, 0.0, 0.22235146, 0.71815306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4635181, 0.0, 0.0, 0.0, 0.0, 1.4525504, 0.5584196, 0.0, 0.0, 0.06043016, 0.0, 0.0, 0.0, 0.2751779, 0.3494243, 0.04869336, 0.0, 0.0, 0.0, 0.04043536, 0.0, 0.80330336, 0.0, 0.6398656, 0.0, 0.0, 0.54324114, 0.0, 0.0, 0.37744713, 0.15225875, 0.0, 0.0, 0.0, 0.0, 0.40400207, 0.0, 0.0, 0.53672683, 0.0, 1.0151252, 0.0, 0.0, 0.6436679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107585065, 0.18579319, 0.41223013, 0.0, 0.02405712, 0.0, 0.01804884, 0.0, 0.62664276, 0.0, 0.0, 0.23462707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.89185023, 0.0, 0.8224024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.098394394, 0.0, 0.7866226, 0.0, 0.32571554, 0.35287517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30789852, 0.0, 0.0, 0.0, 0.9199515, 0.0, 0.17415157, 0.021078993, 0.0, 0.9195427, 0.0, 0.16168758, 0.0, 0.67340386, 0.794779, 0.11561389, 0.0, 0.13552338, 0.0, 0.8948411, 0.043905854, 0.0, 0.0, 0.0, 0.7864579, 0.0, 0.9807139, 1.218286, 0.0, 0.8001865, 0.0, 0.0, 0.0, 0.0, 0.77458733, 0.0, 0.58422816, 0.21719648, 0.0, 0.0, 0.0, 0.9414698, 0.0, 0.43569252, 0.0, 0.0, 0.0, 0.0, 0.33565715, 0.0, 0.768754, 0.0, 0.0, 0.0, 0.4163643, 0.0, 0.0, 0.0, 0.0]",303.15,27.7,-2.801342913
CC1=C(C(=C(C(=C1C)C)C)C)C,"[0.0, 0.0, 0.54924357, 0.08745287, 0.28601003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115683705, 0.0, 0.2613924, 0.0, 0.0, 0.0, 0.7548231, 0.0, 0.6817068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37805083, 0.0, 0.0, 0.0, 0.16307905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430814, 0.8782683, 0.6067637, 0.83185965, 0.0, 0.0, 0.0, 0.0, 0.22235146, 0.71815306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4635181, 0.0, 0.0, 0.0, 0.0, 1.4525504, 0.5584196, 0.0, 0.0, 0.06043016, 0.0, 0.0, 0.0, 0.2751779, 0.3494243, 0.04869336, 0.0, 0.0, 0.0, 0.04043536, 0.0, 0.80330336, 0.0, 0.6398656, 0.0, 0.0, 0.54324114, 0.0, 0.0, 0.37744713, 0.15225875, 0.0, 0.0, 0.0, 0.0, 0.40400207, 0.0, 0.0, 0.53672683, 0.0, 1.0151252, 0.0, 0.0, 0.6436679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107585065, 0.18579319, 0.41223013, 0.0, 0.02405712, 0.0, 0.01804884, 0.0, 0.62664276, 0.0, 0.0, 0.23462707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.89185023, 0.0, 0.8224024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.098394394, 0.0, 0.7866226, 0.0, 0.32571554, 0.35287517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30789852, 0.0, 0.0, 0.0, 0.9199515, 0.0, 0.17415157, 0.021078993, 0.0, 0.9195427, 0.0, 0.16168758, 0.0, 0.67340386, 0.794779, 0.11561389, 0.0, 0.13552338, 0.0, 0.8948411, 0.043905854, 0.0, 0.0, 0.0, 0.7864579, 0.0, 0.9807139, 1.218286, 0.0, 0.8001865, 0.0, 0.0, 0.0, 0.0, 0.77458733, 0.0, 0.58422816, 0.21719648, 0.0, 0.0, 0.0, 0.9414698, 0.0, 0.43569252, 0.0, 0.0, 0.0, 0.0, 0.33565715, 0.0, 0.768754, 0.0, 0.0, 0.0, 0.4163643, 0.0, 0.0, 0.0, 0.0]",303.15,34.6,-2.809668302
CC1=C(C(=C(C(=C1C)C)C)C)C,"[0.0, 0.0, 0.54924357, 0.08745287, 0.28601003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115683705, 0.0, 0.2613924, 0.0, 0.0, 0.0, 0.7548231, 0.0, 0.6817068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37805083, 0.0, 0.0, 0.0, 0.16307905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430814, 0.8782683, 0.6067637, 0.83185965, 0.0, 0.0, 0.0, 0.0, 0.22235146, 0.71815306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4635181, 0.0, 0.0, 0.0, 0.0, 1.4525504, 0.5584196, 0.0, 0.0, 0.06043016, 0.0, 0.0, 0.0, 0.2751779, 0.3494243, 0.04869336, 0.0, 0.0, 0.0, 0.04043536, 0.0, 0.80330336, 0.0, 0.6398656, 0.0, 0.0, 0.54324114, 0.0, 0.0, 0.37744713, 0.15225875, 0.0, 0.0, 0.0, 0.0, 0.40400207, 0.0, 0.0, 0.53672683, 0.0, 1.0151252, 0.0, 0.0, 0.6436679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107585065, 0.18579319, 0.41223013, 0.0, 0.02405712, 0.0, 0.01804884, 0.0, 0.62664276, 0.0, 0.0, 0.23462707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.89185023, 0.0, 0.8224024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.098394394, 0.0, 0.7866226, 0.0, 0.32571554, 0.35287517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30789852, 0.0, 0.0, 0.0, 0.9199515, 0.0, 0.17415157, 0.021078993, 0.0, 0.9195427, 0.0, 0.16168758, 0.0, 0.67340386, 0.794779, 0.11561389, 0.0, 0.13552338, 0.0, 0.8948411, 0.043905854, 0.0, 0.0, 0.0, 0.7864579, 0.0, 0.9807139, 1.218286, 0.0, 0.8001865, 0.0, 0.0, 0.0, 0.0, 0.77458733, 0.0, 0.58422816, 0.21719648, 0.0, 0.0, 0.0, 0.9414698, 0.0, 0.43569252, 0.0, 0.0, 0.0, 0.0, 0.33565715, 0.0, 0.768754, 0.0, 0.0, 0.0, 0.4163643, 0.0, 0.0, 0.0, 0.0]",323.15,7.68,-4.395773947
CC1=C(C(=C(C(=C1C)C)C)C)C,"[0.0, 0.0, 0.54924357, 0.08745287, 0.28601003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115683705, 0.0, 0.2613924, 0.0, 0.0, 0.0, 0.7548231, 0.0, 0.6817068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37805083, 0.0, 0.0, 0.0, 0.16307905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430814, 0.8782683, 0.6067637, 0.83185965, 0.0, 0.0, 0.0, 0.0, 0.22235146, 0.71815306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4635181, 0.0, 0.0, 0.0, 0.0, 1.4525504, 0.5584196, 0.0, 0.0, 0.06043016, 0.0, 0.0, 0.0, 0.2751779, 0.3494243, 0.04869336, 0.0, 0.0, 0.0, 0.04043536, 0.0, 0.80330336, 0.0, 0.6398656, 0.0, 0.0, 0.54324114, 0.0, 0.0, 0.37744713, 0.15225875, 0.0, 0.0, 0.0, 0.0, 0.40400207, 0.0, 0.0, 0.53672683, 0.0, 1.0151252, 0.0, 0.0, 0.6436679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107585065, 0.18579319, 0.41223013, 0.0, 0.02405712, 0.0, 0.01804884, 0.0, 0.62664276, 0.0, 0.0, 0.23462707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.89185023, 0.0, 0.8224024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.098394394, 0.0, 0.7866226, 0.0, 0.32571554, 0.35287517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30789852, 0.0, 0.0, 0.0, 0.9199515, 0.0, 0.17415157, 0.021078993, 0.0, 0.9195427, 0.0, 0.16168758, 0.0, 0.67340386, 0.794779, 0.11561389, 0.0, 0.13552338, 0.0, 0.8948411, 0.043905854, 0.0, 0.0, 0.0, 0.7864579, 0.0, 0.9807139, 1.218286, 0.0, 0.8001865, 0.0, 0.0, 0.0, 0.0, 0.77458733, 0.0, 0.58422816, 0.21719648, 0.0, 0.0, 0.0, 0.9414698, 0.0, 0.43569252, 0.0, 0.0, 0.0, 0.0, 0.33565715, 0.0, 0.768754, 0.0, 0.0, 0.0, 0.4163643, 0.0, 0.0, 0.0, 0.0]",323.15,9.05,-3.588380294
CC1=C(C(=C(C(=C1C)C)C)C)C,"[0.0, 0.0, 0.54924357, 0.08745287, 0.28601003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115683705, 0.0, 0.2613924, 0.0, 0.0, 0.0, 0.7548231, 0.0, 0.6817068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37805083, 0.0, 0.0, 0.0, 0.16307905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430814, 0.8782683, 0.6067637, 0.83185965, 0.0, 0.0, 0.0, 0.0, 0.22235146, 0.71815306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4635181, 0.0, 0.0, 0.0, 0.0, 1.4525504, 0.5584196, 0.0, 0.0, 0.06043016, 0.0, 0.0, 0.0, 0.2751779, 0.3494243, 0.04869336, 0.0, 0.0, 0.0, 0.04043536, 0.0, 0.80330336, 0.0, 0.6398656, 0.0, 0.0, 0.54324114, 0.0, 0.0, 0.37744713, 0.15225875, 0.0, 0.0, 0.0, 0.0, 0.40400207, 0.0, 0.0, 0.53672683, 0.0, 1.0151252, 0.0, 0.0, 0.6436679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107585065, 0.18579319, 0.41223013, 0.0, 0.02405712, 0.0, 0.01804884, 0.0, 0.62664276, 0.0, 0.0, 0.23462707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.89185023, 0.0, 0.8224024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.098394394, 0.0, 0.7866226, 0.0, 0.32571554, 0.35287517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30789852, 0.0, 0.0, 0.0, 0.9199515, 0.0, 0.17415157, 0.021078993, 0.0, 0.9195427, 0.0, 0.16168758, 0.0, 0.67340386, 0.794779, 0.11561389, 0.0, 0.13552338, 0.0, 0.8948411, 0.043905854, 0.0, 0.0, 0.0, 0.7864579, 0.0, 0.9807139, 1.218286, 0.0, 0.8001865, 0.0, 0.0, 0.0, 0.0, 0.77458733, 0.0, 0.58422816, 0.21719648, 0.0, 0.0, 0.0, 0.9414698, 0.0, 0.43569252, 0.0, 0.0, 0.0, 0.0, 0.33565715, 0.0, 0.768754, 0.0, 0.0, 0.0, 0.4163643, 0.0, 0.0, 0.0, 0.0]",323.15,10.4,-3.408935393
CC1=C(C(=C(C(=C1C)C)C)C)C,"[0.0, 0.0, 0.54924357, 0.08745287, 0.28601003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.115683705, 0.0, 0.2613924, 0.0, 0.0, 0.0, 0.7548231, 0.0, 0.6817068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37805083, 0.0, 0.0, 0.0, 0.16307905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430814, 0.8782683, 0.6067637, 0.83185965, 0.0, 0.0, 0.0, 0.0, 0.22235146, 0.71815306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4635181, 0.0, 0.0, 0.0, 0.0, 1.4525504, 0.5584196, 0.0, 0.0, 0.06043016, 0.0, 0.0, 0.0, 0.2751779, 0.3494243, 0.04869336, 0.0, 0.0, 0.0, 0.04043536, 0.0, 0.80330336, 0.0, 0.6398656, 0.0, 0.0, 0.54324114, 0.0, 0.0, 0.37744713, 0.15225875, 0.0, 0.0, 0.0, 0.0, 0.40400207, 0.0, 0.0, 0.53672683, 0.0, 1.0151252, 0.0, 0.0, 0.6436679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.107585065, 0.18579319, 0.41223013, 0.0, 0.02405712, 0.0, 0.01804884, 0.0, 0.62664276, 0.0, 0.0, 0.23462707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.89185023, 0.0, 0.8224024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.098394394, 0.0, 0.7866226, 0.0, 0.32571554, 0.35287517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.30789852, 0.0, 0.0, 0.0, 0.9199515, 0.0, 0.17415157, 0.021078993, 0.0, 0.9195427, 0.0, 0.16168758, 0.0, 0.67340386, 0.794779, 0.11561389, 0.0, 0.13552338, 0.0, 0.8948411, 0.043905854, 0.0, 0.0, 0.0, 0.7864579, 0.0, 0.9807139, 1.218286, 0.0, 0.8001865, 0.0, 0.0, 0.0, 0.0, 0.77458733, 0.0, 0.58422816, 0.21719648, 0.0, 0.0, 0.0, 0.9414698, 0.0, 0.43569252, 0.0, 0.0, 0.0, 0.0, 0.33565715, 0.0, 0.768754, 0.0, 0.0, 0.0, 0.4163643, 0.0, 0.0, 0.0, 0.0]",323.15,12.5,-2.832682665
